Tipo,Elemento,Detalle,Entidad_Destino,Cardinalidad_Origen,Cardinalidad_Destino
ENTIDAD,BANCO,,,,
ENTIDAD,SUCURSAL,,,,
ENTIDAD,CLIENTE,,,,
ENTIDAD,CUENTA,,,,
ENTIDAD,TRANSACCION,,,,
ATRIBUTO,SUCURSAL,id (PK),,,
ATRIBUTO,SUCURSAL,ciudad,,,
ATRIBUTO,SUCURSAL,activo,,,
ATRIBUTO,CLIENTE,dni (PK),,,
ATRIBUTO,CLIENTE,direccion,,,
ATRIBUTO,CLIENTE,nombre_completo,,,
ATRIBUTO,CLIENTE,ciudad,,,
ATRIBUTO,CUENTA,numero_cuenta (PK),,,
ATRIBUTO,CUENTA,saldo,,,
ATRIBUTO,TRANSACCION,id (PK),,,
ATRIBUTO,TRANSACCION,fecha,,,
ATRIBUTO,TRANSACCION,tipo,,,
ATRIBUTO,TRANSACCION,cantidad,,,
RELACION,BANCO,tiene,SUCURSAL,1,N
RELACION,SUCURSAL,tiene,BANCO,1,1
RELACION,SUCURSAL,va,CLIENTE,1,N
RELACION,CLIENTE,va,SUCURSAL,1,N
RELACION,CLIENTE,abre,CUENTA,1,N
RELACION,CUENTA,abre,CLIENTE,1,N
RELACION,TRANSACCION,hace,CUENTA,1,1
RELACION,CUENTA,hace,TRANSACCION,1,N

